species,size,family,fg,habitat,true_spp,trophic_level
Amblyglyphidodon_aureus,13,Pomacentridae,Planktivore,Reef,Amblyglyphidodon_aureus,-999
Amblyglyphidodon_curacao,11,Pomacentridae,Planktivore,Reef,Amblyglyphidodon_curacao,2.6
Amblyglyphidodon_leucogaster,13,Pomacentridae,Planktivore,Reef,Amblyglyphidodon_leucogaster,-999
Amblygobius_esakiae,8.5,Gobiidae,Detritivore,Reef,Amblygobius_esakiae,-999
Amblygobius_phalaena,15,Gobiidae,Detritivore,Reef,Amblygobius_phalaena,-999
Amblygobius_sp,10,Gobiidae,Detritivore,Reef,Amblygobius_sp,-999
Amblygobius_species,10,Gobiidae,Detritivore,Reef,Amblygobius_sp,-999
Amblygobius_sphynx,18,Gobiidae,Detritivore,Reef,Amblygobius_sphynx,-999
Amphiprion_akindynos,9,Pomacentridae,Planktivore,Reef,Amphiprion_akindynos,-999
Amphiprion_chrysopterus,17,Pomacentridae,Planktivore,Reef,Amphiprion_chrysopterus,2.8
Amphiprion_clarkii,15,Pomacentridae,Planktivore,Reef,Amphiprion_clarkii,2.9
Amphiprion_fuscocaudatus,14,Pomacentridae,Planktivore,Reef,Amphiprion_fuscocaudatus,-999
Amphiprion_melanopus,12,Pomacentridae,Planktivore,Reef,Amphiprion_melanopus,2.8
Amphiprion_nigripes,11,Pomacentridae,Planktivore,Reef,Amphiprion_nigripes,-999
Amphiprion_perideraion,10,Pomacentridae,Planktivore,Reef,Amphiprion_perideraion,2.6
Anampses_caeruleopunctatus,42,Labridae,Micro-invertivore,Reef,Anampses_caeruleopunctatus,3.3
Anampses_caerulopunctatus,42,Labridae,Micro-invertivore,Reef,Anampses_caeruleopunctatus,3.3
Anampses_chrysocephalus,17,Labridae,Micro-invertivore,Reef,Anampses_chrysocephalus,-999
Anampses_cuvier,31,Labridae,Micro-invertivore,Reef,Anampses_cuvier,3.4
Anampses_femininus,24,Labridae,Micro-invertivore,Reef,Anampses_femininus,-999
Anampses_melanurus,12,Labridae,Micro-invertivore,Reef,Anampses_melanurus,-999
Anampses_meleagrides,22,Labridae,Micro-invertivore,Reef,Anampses_meleagrides,-999
Anampses_neoguienacus,20,Labridae,Micro-invertivore,Reef,Anampses_neoguinaicus,-999
Anampses_neoguinaicus,20,Labridae,Micro-invertivore,Reef,Anampses_neoguinaicus,-999
Anampses_sp,30,Labridae,Micro-invertivore,Reef,Anampses_sp,-999
Anampses_twistii,18,Labridae,Micro-invertivore,Reef,Anampses_twistii,-999
Anisotremus_surinamensis,76,Haemulidae,Micro-invertivore,Reef,Anisotremus_surinamensis,3.3
Anisotremus_virginicus,40.6,Haemulidae,Micro-invertivore,Reef,Anisotremus_virginicus,3.4
Antennarius_commerson,45,Antennariidae,Pisci-invertivore,Reef,Antennarius_commerson,-999
Anthias_sp,29,Serranidae,Planktivore,Reef,Anthias_sp,-999
Anthias_spp.,29,Serranidae,Planktivore,Reef,Anthias_sp,-999
Anthias_spp.2,29,Serranidae,Planktivore,Reef,Anthias_sp,-999
Anyperodon_leucogrammicus,65,Serranidae,Piscivore,Reef,Anyperodon_leucogrammicus,-999
Aphareus_furca,70,Lutjanidae,Piscivore,Pelagic,Aphareus_furca,-999
Apogon_angustatus,11,Apogonidae,Planktivore,Reef,Apogon_angustatus,-999
Apogon_apogonoides,10,Apogonidae,Planktivore,Reef,Apogon_apogonoides,-999
Apogon_binotatus,13,Apogonidae,Planktivore,Reef,Apogon_binotatus,-999
Apogon_cyanosoma,8,Apogonidae,Planktivore,Reef,Apogon_cyanosoma,3.4
Apogon_erythrinus,4,Apogonidae,Planktivore,Reef,Apogon_erythrinus,-999
Apogon_fraenatus,10,Apogonidae,Planktivore,Reef,Apogon_fraenatus,-999
Apogon_fuscus,7,Apogonidae,Planktivore,Reef,Apogon_fuscus,-999
Apogon_kallopterus,15.5,Apogonidae,Planktivore,Reef,Apogon_kallopterus,3.5
Apogon_lachneri,6.5,Apogonidae,Planktivore,Reef,Apogon_lachneri,-999
Apogon_lateralis,11,Apogonidae,Planktivore,Reef,Apogon_lateralis,-999
Apogon_maculatus,11.1,Apogonidae,Planktivore,Reef,Apogon_maculatus,3.5
Apogon_maculiferus,14,Apogonidae,Planktivore,Reef,Apogon_maculiferus,3.5
Apogon_novemfasciatus,10,Apogonidae,Planktivore,Reef,Apogon_novemfasciatus,-999
Apogon_sp,10,Apogonidae,Planktivore,Reef,Apogon_sp,-999
Apogon_species,10,Apogonidae,Planktivore,Reef,Apogon_sp,-999
Apogon_townsendi,6.5,Apogonidae,Planktivore,Reef,Apogon_townsendi,-999
Apolemichthys_arcuatus,18,Pomacanthidae,Micro-invertivore,Reef,Apolemichthys_arcuatus,2.9
Apolemichthys_griffisi,30,Pomacanthidae,Micro-invertivore,Reef,Apolemichthys_griffisi,-999
Apolemichthys_trimaculatus,26,Pomacanthidae,Micro-invertivore,Reef,Apolemichthys_trimaculatus,-999
Apolemichthys_xanthopunctatus,25,Pomacanthidae,Micro-invertivore,Reef,Apolemichthys_xanthopunctatus,-999
Aprion_virenscens,112,Lutjanidae,Piscivore,Reef,Aprion_virescens,4
Aprion_virescens,112,Lutjanidae,Piscivore,Reef,Aprion_virescens,4
Archamia_mozambiquensis,8.9,Apogonidae,Planktivore,Reef,Archamia_mozambiquensis,-999
Arothron_hispidus,50,Tetraodontidae,Macro-invertivore,Reef,Arothron_hispidus,3.1
Arothron_mappa,65,Tetraodontidae,Macro-invertivore,Reef,Arothron_mappa,-999
Arothron_meleagris,50,Tetraodontidae,Corallivore,Reef,Arothron_meleagris,3.4
