Country,Year,Location,Acanthuridae,Aulostomidae,Balistidae,Carangidae,Carcarhinidae,Chaetodontidae,Diodontidae,Fistularidae,Ginglymostomatidae,Haemulidae,Holocentridae,Labridae,Lethrinidae,Lutjanidae,Mullidae,Muraenidae,Others,Pempheridae,Penguipedidae,Pomacanthidae,Pomacentridae,Scaridae,Scombridae,Scorpaenidae,Serranidae,Siganidae,Sphyraenidae,Total biomass,Area,Closure age,LAT,LONG,Exposure,depth,Management,Year of closure,Coral.cover,Algae,Soft.coral,Depth,Park,Park_ID,Atoll,Sampling method,Sampling area,Habitat
Kenya,2007,Malindi,420.04,0,58.71,0,0,6.49,95.49,0,0,112.11,19.04,155.6,0,12.78,13.13,0,12.19,0,0.34,11.78,78.01,169.21,0,0,60.22,25.23,0,1250.36,6.3,39,-3.26,40.15,Sheltered,2,High compliance closure,1968,22.7,45.6,6.6,2,Malindi,1,0,Belt transect,500,Lagoon/Back reef
Kenya,2009,Malindi,371.08,6.71,5.64,21.89,0,4.64,0,0,0,144.29,31.01,104.14,4.73,42.36,4.25,0,27.85,53.18,1.02,20.02,149.65,51.3,0,0,100.42,25.03,0,1169.21,6.3,41,-3.26,40.15,Sheltered,2,High compliance closure,1968,24.4,9.1,2.4,2,Malindi,1,0,Belt transect,500,Lagoon/Back reef
Kenya,2011,Malindi,258.355,1.945,22.745,10.945,0,10.2,11.92,0,0,84.085,19.85,110.7,7.09,5.68,6.3,0,40.83,0,4.22,14.05,54.225,36.535,0,0.75,6.885,3.74,0,711.05,6.3,43,-3.26,40.15,Sheltered,2,High compliance closure,1968,27.2,33.2,1.8,2,Malindi,1,0,Belt transect,500,Lagoon/Back reef
Kenya,2013,Malindi,542.9920282,10.56464869,36.72763552,8.499312395,0,11.16257128,0,1.22285625,0,125.8204344,30.93863178,86.11946908,28.18597418,51.12462782,7.80150807,0,17.95120256,31.77680625,0.338742012,0,29.93567083,258.6696518,0,0,13.68569241,3.738356068,0,1297.25582,6.3,45,-3.26,40.15,Sheltered,2,High compliance closure,1968,24.2,24.8,2.4,2,Malindi,1,0,Belt transect,500,Lagoon/Back reef
Kenya,1991,Mombasa,31.71,2.51,4.68,0,0,2.23,5.03,0.16,0,10.92,55.66,30.1,0.4,0.83,3.2,3.14,22.14,8.77,1.87,6.29,37.91,11.73,0,0.53,15.51,32.16,0,287.49,6,0,-3.99,39.75,Sheltered,2,High compliance closure,1991,30.8,3,2.5,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,1992,Mombasa,62.32,4.38,14.82,0,0,6.81,7.01,0.28,0,44.38,97.07,32.32,1.62,3.37,5.58,5.48,38.61,15.3,3.27,10.34,82.5,28.89,0,0.92,27.05,56.08,0,548.4,6,1,-3.99,39.75,Sheltered,2,High compliance closure,1991,28.8,2.2,2,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,1993,Mombasa,42.1,4.25,1.68,0,0,11.37,1.71,0.28,0,129.68,94.26,29.27,4.74,9.83,5.42,5.32,37.49,14.86,3.17,22.75,17.29,33.97,0,0.9,26.27,54.45,0,551.06,6,2,-3.99,39.75,Sheltered,2,High compliance closure,1991,42.2,3.8,4.6,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,1994,Mombasa,103.64,10.18,21.82,0,0,18.96,5.21,0.66,0,107.56,225.63,73.14,3.94,8.16,20.51,12.74,89.74,35.57,7.6,34.58,153.51,129.23,0,2.15,62.88,13.28,0,1140.67,6,3,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,1995,Mombasa,56.43,1.73,0,0,0,12.18,0,0.11,0,43.42,38.29,35.99,1.59,3.29,9.11,2.16,15.23,6.04,1.29,21.25,62.25,49.11,0,0.36,10.67,0.07,0,370.58,6,4,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,1996,Mombasa,69.47,4.08,10.79,0,0,4.51,0,0.26,0,15.79,90.52,42.8,0.58,1.2,2.55,5.11,36,14.27,3.05,14.61,67.35,65.81,0,0.86,25.23,7.6,0,482.43,6,5,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,1997,Mombasa,65.3,5.82,22.69,0,0,12.07,3.55,0.38,0,98.23,129.15,75.08,3.59,7.45,2.39,7.29,51.36,20.36,4.35,25.3,102.94,96.89,0,1.23,35.99,0,0,771.42,6,6,-3.99,39.75,Sheltered,2,High compliance closure,1991,42,5.7,5.1,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,1999,Mombasa,98.62,4.34,22.69,0,0,7.62,0,0.28,0,89.21,96.18,25.85,3.26,6.76,2.39,5.43,38.25,15.16,3.24,17.86,58.04,85.59,0,0.92,26.8,18.84,0,627.34,6,8,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
